SampleID,Site,FieldType,Factor,Latitude,Env
1,SYRU1,Upland,MAP,18.34,95.8775
2,SYRU2,Upland,MAP,18.34,95.8775
3,SYRU3,Upland,MAP,18.34,95.8775
4,HKRU1,Upland,MAP,19.76,129.4108333
5,HKRU2,Upland,MAP,19.76,129.4108333
6,HKRU3,Upland,MAP,19.76,129.4108333
7,SXRU1,Upland,MAP,21.4,152.4375
8,SXRU2,Upland,MAP,21.4,152.4375
9,SXRU3,Upland,MAP,21.43,151.3266667
10,YLRU1,Upland,MAP,22.57,137.0591667
11,YLRU2,Upland,MAP,22.57,137.0591667
12,YLRU3,Upland,MAP,22.56,137.0591667
13,WZRU1,Upland,MAP,23.55,136.62
14,WZRU2,Upland,MAP,23.55,136.62
15,WZRU3,Upland,MAP,23.56,136.62
16,JHRU1,Upland,MAP,25.21,130.3975
17,JHRU2,Upland,MAP,25.21,130.3975
18,JHRU3,Upland,MAP,25.21,130.3975
19,QYRU1,Upland,MAP,26.76,112.3283333
20,QYRU2,Upland,MAP,26.76,112.3283333
21,QYRU3,Upland,MAP,26.77,112.3283333
22,LDRU1,Upland,MAP,27.64,113.1925
23,LDRU2,Upland,MAP,27.64,113.1925
24,LDRU3,Upland,MAP,27.62,113.0116667
25,YiYangRU1,Upland,MAP,28.58,109.0183333
26,YiYangRU2,Upland,MAP,28.58,109.0183333
27,YiYangRU3,Upland,MAP,28.58,109.0183333
28,HRRU1,Upland,MAP,29.51,98.20666667
29,HRRU2,Upland,MAP,29.51,98.20666667
30,HRRU3,Upland,MAP,29.51,98.20666667
31,QJRU1,Upland,MAP,30.46,85.87583333
32,QJRU2,Upland,MAP,30.46,85.87583333
33,QJRU3,Upland,MAP,30.46,85.87583333
34,XGRU1,Upland,MAP,30.94,90.10583333
35,XGRU2,Upland,MAP,30.94,90.10583333
36,XGRU3,Upland,MAP,30.94,90.10583333
37,XYRU1,Upland,MAP,32.2,84.42583333
38,XYRU2,Upland,MAP,32.2,84.42583333
39,XYRU3,Upland,MAP,32.2,84.42583333
40,LHRU1,Upland,MAP,33.52,65.73166667
41,LHRU2,Upland,MAP,33.52,65.73166667
42,LHRU3,Upland,MAP,33.52,63.98083333
43,YYRU1,Upland,MAP,35.01,49.0875
44,YYRU2,Upland,MAP,35,49.6525
45,YYRU3,Upland,MAP,35.02,49.0875
46,HDRU1,Upland,MAP,36.43,49.27583333
47,HDRU2,Upland,MAP,36.44,49.27583333
48,HDRU3,Upland,MAP,36.44,49.27583333
49,XJRU1,Upland,MAP,37.88,39.77166667
50,XJRU2,Upland,MAP,37.88,39.77166667
51,XJRU3,Upland,MAP,37.88,39.77166667
52,BZRU1,Upland,MAP,39.15,49.28333333
53,BZRU2,Upland,MAP,39.15,49.28333333
54,BZRU3,Upland,MAP,39.14,49.28333333
55,QHDRU1,Upland,MAP,39.82,52.12666667
56,QHDRU2,Upland,MAP,39.83,52.12666667
57,QHDRU3,Upland,MAP,39.81,52.12666667
58,PJRU1,Upland,MAP,41.24,42.34
59,PJRU2,Upland,MAP,41.24,42.34
60,PJRU3,Upland,MAP,41.24,42.135
61,SYSRU1,Upland,MAP,42,48.92583333
62,SYSRU2,Upland,MAP,42,48.92583333
63,SYSRU3,Upland,MAP,42,48.92583333
64,SPRU1,Upland,MAP,43.26,50.7575
65,SPRU2,Upland,MAP,43.26,50.7575
66,SPRU3,Upland,MAP,43.25,50.99916667
67,DHRU1,Upland,MAP,44.55,56.88
68,DHRU2,Upland,MAP,44.55,56.88
69,DHRU3,Upland,MAP,44.55,56.88
70,HLRU1,Upland,MAP,47.46,56.34916667
71,HLRU2,Upland,MAP,47.46,56.34916667
72,HLRU3,Upland,MAP,47.46,56.34916667
73,HEBRU1,Upland,MAP,45.83,58.99583333
74,HEBRU2,Upland,MAP,45.83,58.99583333
75,HEBRU3,Upland,MAP,45.83,58.99583333
76,NJRU1,Upland,MAP,49.13,52.2075
77,NJRU2,Upland,MAP,49.14,52.2075
78,NJRU3,Upland,MAP,49.14,52.2075
79,HMRU1,Upland,MAP,51.72,39.66166667
80,HMRU2,Upland,MAP,51.72,39.66166667
81,HMRU3,Upland,MAP,51.72,39.66166667
82,MHRU1,Upland,MAP,53.49,38.67
83,MHRU2,Upland,MAP,53.49,38.67
84,MHRU3,Upland,MAP,53.49,38.67
85,SYRP1,Paddy,MAP,18.34,95.8775
86,SYRP2,Paddy,MAP,18.34,95.8775
87,SYRP3,Paddy,MAP,18.34,95.8775
88,HKRP1,Paddy,MAP,19.81,130.5633333
89,HKRP2,Paddy,MAP,19.8,130.5633333
90,HKRP3,Paddy,MAP,19.82,130.5633333
91,SXRP1,Paddy,MAP,21.4,152.4375
92,SXRP2,Paddy,MAP,21.4,152.4375
93,SXRP3,Paddy,MAP,21.43,151.3266667
94,YLRP1,Paddy,MAP,22.57,137.0591667
95,YLRP2,Paddy,MAP,22.57,137.0591667
96,YLRP3,Paddy,MAP,22.56,137.0591667
97,WZRP1,Paddy,MAP,23.55,136.62
98,WZRP2,Paddy,MAP,23.55,136.62
99,WZRP3,Paddy,MAP,23.55,136.62
100,JHRP1,Paddy,MAP,25.21,130.3975
101,JHRP2,Paddy,MAP,25.21,130.3975
102,JHRP3,Paddy,MAP,25.21,130.3975
103,QYRP1,Paddy,MAP,26.76,112.3283333
104,QYRP2,Paddy,MAP,26.76,112.3283333
105,QYRP3,Paddy,MAP,26.76,112.3283333
106,LDRP1,Paddy,MAP,27.63,113.1925
107,LDRP2,Paddy,MAP,27.63,113.1925
108,LDRP3,Paddy,MAP,27.62,113.0116667
109,YiYangRP1,Paddy,MAP,28.6,107.9158333
110,YiYangRP2,Paddy,MAP,28.44,111.2525
111,YiYangRP3,Paddy,MAP,28.6,107.9158333
112,HRRP1,Paddy,MAP,29.51,98.20666667
113,HRRP2,Paddy,MAP,29.51,98.20666667
114,HRRP3,Paddy,MAP,29.51,98.20666667
115,QJRP1,Paddy,MAP,30.43,87.1275
116,QJRP2,Paddy,MAP,30.39,86.835
117,QJRP3,Paddy,MAP,30.4,86.835
118,XGRP1,Paddy,MAP,30.94,90.10583333
119,XGRP2,Paddy,MAP,30.94,90.10583333
120,XGRP3,Paddy,MAP,30.94,90.10583333
121,XYRP1,Paddy,MAP,32.2,84.42583333
122,XYRP2,Paddy,MAP,32.2,84.42583333
123,XYRP3,Paddy,MAP,32.2,84.42583333
124,YYRP1,Paddy,MAP,35.02,49.0875
125,YYRP2,Paddy,MAP,35.02,49.0875
126,YYRP3,Paddy,MAP,35.02,49.0875
127,HDRP1,Paddy,MAP,36.44,49.27583333
128,HDRP2,Paddy,MAP,36.45,49.27583333
129,HDRP3,Paddy,MAP,36.45,49.27583333
130,QHDRP1,Paddy,MAP,39.82,52.12666667
131,QHDRP2,Paddy,MAP,39.82,52.12666667
132,QHDRP3,Paddy,MAP,39.81,52.12666667
133,PJRP1,Paddy,MAP,41.24,42.34
134,PJRP2,Paddy,MAP,41.24,42.34
135,PJRP3,Paddy,MAP,41.24,42.34
136,SYSRP1,Paddy,MAP,42.02,48.24
137,SYSRP2,Paddy,MAP,42.01,48.24
138,SYSRP3,Paddy,MAP,42.01,48.24
139,SPRP1,Paddy,MAP,43.25,50.88666667
140,SPRP2,Paddy,MAP,43.26,50.7575
141,SPRP3,Paddy,MAP,43.26,50.7575
142,DHRP1,Paddy,MAP,44.56,56.89166667
143,DHRP2,Paddy,MAP,44.55,56.88
144,DHRP3,Paddy,MAP,44.55,56.88
145,HLRP1,Paddy,MAP,47.46,56.34916667
146,HLRP2,Paddy,MAP,47.46,56.34916667
147,HLRP3,Paddy,MAP,47.46,56.34916667
148,HEBRP1,Paddy,MAP,45.83,58.99583333
149,HEBRP2,Paddy,MAP,45.83,54.5425
150,HEBRP3,Paddy,MAP,45.82,58.99583333
151,NJRP1,Paddy,MAP,49.14,52.2075
152,NJRP2,Paddy,MAP,49.14,52.2075
153,NJRP3,Paddy,MAP,49.14,52.2075
154,HMRP1,Paddy,MAP,51.74,39.64583333
155,HMRP2,Paddy,MAP,51.74,39.64583333
156,HMRP3,Paddy,MAP,51.74,39.66166667
157,SYRU1,Upland,MAT,18.34,25.17
158,SYRU2,Upland,MAT,18.34,25.17
159,SYRU3,Upland,MAT,18.34,25.17
