SampleID,MAP,MAT,pH,AP,AK,TN,TP,TK,OM,NH_N,NO_N
SYRU1,95.8775,25.17,6.61,19.45,85.95,1.1,0.08,0.61,22.412,5.33,6.06
SYRU2,95.8775,25.17,6.28,75.73,223.91,1,0.11,0.7,17.757,3.73,66.22
SYRU3,95.8775,25.17,6.11,65.37,191.38,0.7,0.19,2.82,13.792,2.46,22.52
HKRU1,129.4108333,24.72,5.89,63.35,171.59,1.3,0.21,0.36,25.343,2.83,14.54
HKRU2,129.4108333,24.72,5.96,20.18,294.03,1.3,0.17,0.4,25.17,1.94,6.23
HKRU3,129.4108333,24.72,5.74,12.2,244.11,1.4,0.22,0.45,27.584,6.8,23.69
SXRU1,152.4375,23.82,5.51,151.41,134.86,1.2,0.12,0.47,26.55,6.26,22.98
SXRU2,152.4375,23.82,5.35,80.45,108.74,1.2,0.15,0.56,28.791,7.43,26.83
SXRU3,151.3266667,23.82,5.22,25.34,48.72,0.8,0.11,0.33,15.688,5.86,0.86
YLRU1,137.0591667,22.17,5.65,19.97,92.39,1.1,0.08,0.4,23.791,0.71,13.69
YLRU2,137.0591667,22.17,5.55,35.93,111.1,1,0.24,0.42,18.792,0.06,13.9
YLRU3,137.0591667,22.17,5.39,97.73,178.61,1.4,0.12,0.44,28.446,2.73,24.71
WZRU1,136.62,22.15,5.98,2.66,90.03,0.7,0.05,1.13,9.137,0.28,6.97
WZRU2,136.62,22.15,5.61,3.85,84.79,0.9,0.06,1.11,12.585,1.47,11.03
WZRU3,136.62,22.15,5.51,2.31,60.09,0.6,0.05,1.19,7.586,0.2,0.72
JHRU1,130.3975,18.7,6.1,22.27,257.77,1.2,0.11,0.88,21.033,-0.22,15.52
JHRU2,130.3975,18.7,5.75,21.66,95.96,1.1,0.09,1.01,20.688,3.31,0.45
JHRU3,130.3975,18.7,5.46,12.51,223.43,1.2,0.06,0.79,23.619,0.74,2.8
QYRU1,112.3283333,18.88,5.38,44.88,135,1,0.07,0.85,14.654,0.22,27.4
QYRU2,112.3283333,18.88,5.08,94.04,130.55,1.1,0.13,1.02,18.792,0.17,10.71
QYRU3,112.3283333,18.88,5.2,25.18,188.92,1.4,0.09,1.01,42.238,-0.03,4.46
LDRU1,113.1925,18.03,5.56,12.23,174.15,1,0.08,1.04,16.55,-0.06,6.93
LDRU2,113.1925,18.03,5.5,29.91,148.43,1.2,0.12,0.94,28.791,0.23,7.6
LDRU3,113.0116667,18.03,5.5,70.43,156.28,1.3,0.13,0.88,27.756,-0.13,1.63
YiYangRU1,109.0183333,18.18,5.4,135.66,526.97,1.7,0.14,1.47,27.756,-0.01,16.1
