ID,Sample ID,Site,Fieldtype,Crop,Group,Values
1,SYRU1,SY,Upland,MangoOrchard,Total_CO2,1260.331
2,SYRU2,SY,Upland,Orchard,Total_CO2,1068.785
3,SYRU3,SY,Upland,Maize,Total_CO2,1258.991
4,HKRU1,HK,Upland,LitchiOrchard,Total_CO2,1266.095
5,HKRU2,HK,Upland,LitchiOrchard,Total_CO2,988.458
6,HKRU3,HK,Upland,LitchiOrchard,Total_CO2,950.921
7,SXRU1,SX,Upland,Saccharum,Total_CO2,1139.022
8,SXRU2,SX,Upland,Saccharum,Total_CO2,1127.117
9,SXRU3,SX,Upland,Saccharum,Total_CO2,936.676
10,YLRU1,YL,Upland,Maize,Total_CO2,664.219
11,YLRU2,YL,Upland,Maize,Total_CO2,967.941
12,YLRU3,YL,Upland,Maize,Total_CO2,988.358
13,WZRU1,WZ,Upland,Maize,Total_CO2,582.157
14,WZRU2,WZ,Upland,Maize,Total_CO2,715.706
15,WZRU3,WZ,Upland,Peanut,Total_CO2,821.704
16,JHRU1,JH,Upland,Peanut,Total_CO2,607.943
17,JHRU2,JH,Upland,Teabush,Total_CO2,895.962
18,JHRU3,JH,Upland,Peanut,Total_CO2,956.994
19,QYRU1,QY,Upland,Maize,Total_CO2,1275.201
20,QYRU2,QY,Upland,SweetPotato,Total_CO2,1337.4
21,QYRU3,QY,Upland,Maize,Total_CO2,1492.3
22,LDRU1,LD,Upland,Teabush,Total_CO2,1756.092
23,LDRU2,LD,Upland,Maize,Total_CO2,1685.764
24,LDRU3,LD,Upland,Vegetable,Total_CO2,1412.228
25,YiYangRU1,YiYang,Upland,Grape,Total_CO2,1503.482
26,YiYangRU2,YiYang,Upland,Grape,Total_CO2,1454.006
27,YiYangRU3,YiYang,Upland,Grape,Total_CO2,1653.669
28,HRRU1,HR,Upland,Cole,Total_CO2,780.007
29,HRRU2,HR,Upland,Cole,Total_CO2,644.387
30,HRRU3,HR,Upland,Cole,Total_CO2,621.458
31,QJRU1,QJ,Upland,Wheat,Total_CO2,1024.616
32,QJRU2,QJ,Upland,Wheat,Total_CO2,1018.319
33,QJRU3,QJ,Upland,Wheat,Total_CO2,1126.082
34,XGRU1,XG,Upland,Cotton,Total_CO2,1462.123
35,XGRU2,XG,Upland,Wheat,Total_CO2,1331.12
36,XGRU3,XG,Upland,Wheat,Total_CO2,1531.637
37,XYRU1,XY,Upland,Maize,Total_CO2,1265.382
38,XYRU2,XY,Upland,Maize,Total_CO2,1385.54
39,XYRU3,XY,Upland,Maize,Total_CO2,1453.361
40,LHRU1,LH,Upland,Wheat,Total_CO2,1389.459
41,LHRU2,LH,Upland,Wheat,Total_CO2,1746.932
42,LHRU3,LH,Upland,Wheat,Total_CO2,1313.291
43,YYRU1,YY,Upland,Wheat,Total_CO2,1104.693
44,YYRU2,YY,Upland,Wheat,Total_CO2,1030.285
45,YYRU3,YY,Upland,Wheat,Total_CO2,916.451
46,HDRU1,HD,Upland,Wheat,Total_CO2,583.011
47,HDRU2,HD,Upland,Wheat,Total_CO2,940.321
48,HDRU3,HD,Upland,Wheat,Total_CO2,878.091
49,XJRU1,XJ,Upland,Wheat,Total_CO2,686.778
50,XJRU2,XJ,Upland,Wheat,Total_CO2,961.711
51,XJRU3,XJ,Upland,Wheat,Total_CO2,701.811
52,BZRU1,BZ,Upland,Wheat,Total_CO2,872.922
53,BZRU2,BZ,Upland,Wheat,Total_CO2,928.609
54,BZRU3,BZ,Upland,Wheat,Total_CO2,1417.36
55,QHDRU1,QHD,Upland,Maize,Total_CO2,1213.551
56,QHDRU2,QHD,Upland,Maize,Total_CO2,1285.741
57,QHDRU3,QHD,Upland,Maize,Total_CO2,1192.329
58,PJRU1,PJ,Upland,Maize,Total_CO2,845.071
59,PJRU2,PJ,Upland,Maize,Total_CO2,667.205
60,PJRU3,PJ,Upland,Maize,Total_CO2,782.347
61,SYSRU1,SYS,Upland,Maize,Total_CO2,1182.21
62,SYSRU2,SYS,Upland,Maize,Total_CO2,1345.063
63,SYSRU3,SYS,Upland,Maize,Total_CO2,1291.602
64,SPRU1,SP,Upland,Maize,Total_CO2,1494.552
65,SPRU2,SP,Upland,Maize,Total_CO2,1281.9
66,SPRU3,SP,Upland,Maize,Total_CO2,1272.744
67,DHRU1,DH,Upland,Maize,Total_CO2,1375.615
68,DHRU2,DH,Upland,Maize,Total_CO2,1682.408
69,DHRU3,DH,Upland,Maize,Total_CO2,1198.723
70,HLRU1,HL,Upland,Maize,Total_CO2,1222.386
71,HLRU2,HL,Upland,Maize,Total_CO2,1282.186
72,HLRU3,HL,Upland,Maize,Total_CO2,697.915
73,HEBRU1,HEB,Upland,Maize,Total_CO2,603.205
74,HEBRU2,HEB,Upland,Maize,Total_CO2,654.194
75,HEBRU3,HEB,Upland,Maize,Total_CO2,512.389
76,NJRU1,NJ,Upland,Maize,Total_CO2,1139.248
77,NJRU2,NJ,Upland,Maize,Total_CO2,850.005
78,NJRU3,NJ,Upland,Maize,Total_CO2,1096.223
79,HMRU1,HM,Upland,Maize,Total_CO2,827.175
80,HMRU2,HM,Upland,Maize,Total_CO2,825.006
81,HMRU3,HM,Upland,Maize,Total_CO2,903.498
82,MHRU1,MH,Upland,Soybean,Total_CO2,991.596
83,MHRU2,MH,Upland,Soybean,Total_CO2,830.757
84,MHRU3,MH,Upland,Soybean,Total_CO2,946.1
85,SYRP1,SY,Paddy,Rice,Total_CO2,1095.775
86,SYRP2,SY,Paddy,Rice,Total_CO2,1042.168
87,SYRP3,SY,Paddy,Rice,Total_CO2,1112.733
88,HKRP1,HK,Paddy,Rice,Total_CO2,1059.816
89,HKRP2,HK,Paddy,Rice,Total_CO2,1127.09
90,HKRP3,HK,Paddy,Rice,Total_CO2,1504.115
91,SXRP1,SX,Paddy,Rice,Total_CO2,902.594
