ID,Field,Time,Group,Cumulative
11,Upland,0,U_Straw_CO2,0
12,Upland,3,U_Straw_CO2,89.45950745
13,Upland,7,U_Straw_CO2,154.8042872
14,Upland,30,U_Straw_CO2,189.5766515
15,Upland,60,U_Straw_CO2,193.0253833
16,Paddy,0,P_Straw_CO2,0
17,Paddy,3,P_Straw_CO2,23.00615697
18,Paddy,7,P_Straw_CO2,44.24880368
19,Paddy,30,P_Straw_CO2,79.89591859
20,Paddy,60,P_Straw_CO2,82.71010721
21,Upland,0,U_BR_CO2,0
22,Upland,3,U_BR_CO2,5.712313561
23,Upland,7,U_BR_CO2,15.94257191
24,Upland,30,U_BR_CO2,91.33731544
25,Upland,60,U_BR_CO2,162.2740394
26,Paddy,0,P_BR_CO2,0
27,Paddy,3,P_BR_CO2,12.37179392
28,Paddy,7,P_BR_CO2,28.83285347
29,Paddy,30,P_BR_CO2,106.1545452
30,Paddy,60,P_BR_CO2,177.0569672
31,Upland,0,U_PE,0
32,Upland,3,U_PE,264.3734515
33,Upland,7,U_PE,473.2773622
34,Upland,30,U_PE,687.5006822
35,Upland,60,U_PE,732.5127624
36,Paddy,0,P_PE,0
37,Paddy,3,P_PE,119.860121
38,Paddy,7,P_PE,235.1341939
39,Paddy,30,P_PE,497.4860375
40,Paddy,60,P_PE,579.168858
