,IncMSE,IncNodePurity,factor,Class,%IncMSE.pval,IncMSE.sig
Field,5.387098543,54656.32149,Field,Field,0.001998002,**
Longitude,15.93502177,277974.5714,Longitude,Space,0.001998002,**
Latitude,17.23879622,359296.5161,Latitude,Space,0.000999001,***
Altitude,13.62509588,280559.0847,Altitude,Space,0.001998002,**
B_PCoA1,35.64770887,1423665.313,B_PCoA1,B_beta,0.000999001,***
B_PCoA2,9.472157029,242711.5455,B_PCoA2,B_beta,0.014985015,*
B_Shannon_entropy,6.438741205,233390.5107,B_Shannon_entropy,B_alpha,0.086913087,
B_Faith_pd,4.886152199,165978.3466,B_Faith_pd,B_alpha,0.208791209,
B_Observed_otus,7.521039104,196905.2136,B_Observed_otus,B_alpha,0.035964036,*
B_Pielou_evenness,10.64399516,316455.7289,B_Pielou_evenness,B_alpha,0.001998002,**
F_PCoA1,7.007772986,188984.9928,F_PCoA1,F_beta,0.043956044,*
F_PCoA2,9.30420567,189821.6938,F_PCoA2,F_beta,0.014985015,*
F_Pielou_evenness,1.90653302,98483.66286,F_Pielou_evenness,F_alpha,0.487512488,
F_Faith_pd,5.488162652,182444.3751,F_Faith_pd,F_alpha,0.087912088,
F_Observed_OTUs,6.341831629,168855.7494,F_Observed_OTUs,F_alpha,0.073926074,
F_Shannon_entropy,0.592832981,120011.3444,F_Shannon_entropy,F_alpha,0.787212787,
BR,4.129827073,177183.9471,BR,Microbial_activity,0.084915085,
MAP,9.896203975,184516.6552,MAP,Climate,0.002997003,**
MAT,15.67730002,296854.4415,MAT,Climate,0.000999001,***
pH,9.99165999,385219.814,pH,Soil,0.012987013,*
AP,8.261950359,283681.9641,AP,Soil,0.018981019,*
AK,10.5614012,262556.7786,AK,Soil,0.002997003,**
TN,8.810198372,175233.5277,TN,Soil,0.008991009,**
TP,5.715608037,95089.02749,TP,Soil,0.02997003,*
TK,5.762788482,155070.3604,TK,Soil,0.077922078,
OM,16.73074188,533139.4432,OM,Soil,0.000999001,***
NH_N,1.197856,192978.7165,NH_N,Soil,0.542457542,
NO_N,1.716282182,193127.0166,NO_N,Soil,0.258741259,
