,IncMSE,IncNodePurity,factor,Class,IncMSE.pval,IncMSE.sig
Field,0,0,Field,Field,1,
Longitude,4.797966675,27671.06885,Longitude,Space,0.075924076,
Latitude,3.402237063,30836.25668,Latitude,Space,0.17982018,
Altitude,1.682323514,47616.03461,Altitude,Space,0.264735265,
B_PCoA1,12.31160009,184057.6506,B_PCoA1,B_beta,0.002997003,**
B_PCoA2,12.17993799,189813.1472,B_PCoA2,B_beta,0.000999001,***
B_Shannon_entropy,2.931039329,25906.31888,B_Shannon,B_alpha,0.213786214,
B_Faith_pd,4.249346859,47210.48337,B_Faith_pd,B_alpha,0.084915085,
B_Observed_otus,1.171082759,37923.42934,B_Richness,B_alpha,0.400599401,
B_Pielou_evenness,2.12911697,30199.44947,B_Evenness,B_alpha,0.313686314,
F_PCoA1,7.218689117,69788.37815,F_PCoA1,F_beta,0.027972028,*
F_PCoA2,6.799340465,95784.64029,F_PCoA2,F_beta,0.034965035,*
F_Pielou_evenness,2.24597074,27393.27456,F_Evenness,F_alpha,0.265734266,
F_Faith_pd,5.165555511,81933.03969,F_Faith_pd,F_alpha,0.053946054,
F_Observed_OTUs,1.00603947,39673.80343,F_Richness,F_alpha,0.503496503,
F_Shannon_entropy,2.860198329,35138.74819,F_Shannon,F_alpha,0.223776224,
BR,-0.856022209,54552.15938,BR,Microbial_activity,0.575424575,
MAP,2.117417354,18349.34202,MAP,Climate,0.277722278,
MAT,3.672343275,29905.01273,MAT,Climate,0.126873127,
pH,5.205201694,83184.2788,pH,Soil,0.061938062,
AP,2.673821321,48349.1561,AP,Soil,0.198801199,
AK,6.554946154,89493.28478,AK,Soil,0.037962038,*
TN,0.835308127,45831.30124,TN,Soil,0.384615385,
TP,3.300967427,49099.18647,TP,Soil,0.104895105,
TK,7.18704849,87026.40882,TK,Soil,0.018981019,*
OM,2.749572454,55546.31139,OM,Soil,0.172827173,
NH_N,10.02026097,156125.1711,NH_N,Soil,0.007992008,**
NO_N,1.882563766,46562.1377,NO_N,Soil,0.226773227,
