,IncMSE,IncNodePurity,factor,Class,%IncMSE.pval,IncMSE.sig
Field,0,0,Field,Field,1,
Longitude,13.95876881,216300.159,Longitude,Space,0.001998002,**
Latitude,15.36036054,258888.6999,Latitude,Space,0.000999001,***
Altitude,11.8924237,168284.9141,Altitude,Space,0.001998002,**
B_PCoA1,25.31628375,772051.8962,B_PCoA1,B_beta,0.000999001,***
B_PCoA2,13.86709144,421729.4945,B_PCoA2,B_beta,0.000999001,***
B_Shannon_entropy,2.619603498,104111.8072,B_Shannon_entropy,B_alpha,0.284715285,
B_Faith_pd,4.769226455,103800.5025,B_Faith_pd,B_alpha,0.074925075,
B_Observed_otus,3.6483518,122597.7078,B_Observed_otus,B_alpha,0.155844156,
B_Pielou_evenness,5.64739683,157098.6274,B_Pielou_evenness,B_alpha,0.05994006,
F_PCoA1,6.342721936,91565.73821,F_PCoA1,F_beta,0.041958042,*
F_PCoA2,4.248253058,74953.34633,F_PCoA2,F_beta,0.0999001,
F_Pielou_evenness,-0.966737468,71377.63355,F_Pielou_evenness,F_alpha,0.72027972,
F_Faith_pd,2.16706618,121231.1177,F_Faith_pd,F_alpha,0.241758242,
F_Observed_OTUs,3.049095343,76972.89111,F_Observed_OTUs,F_alpha,0.184815185,
F_Shannon_entropy,1.41770036,85845.79622,F_Shannon_entropy,F_alpha,0.388611389,
BR,3.464340208,137114.2977,BR,Microbial_activity,0.133866134,
MAP,9.817070726,153293.1485,MAP,Climate,0.001998002,**
MAT,16.24633864,282798.0558,MAT,Climate,0.000999001,***
pH,6.739715658,187167.9461,pH,Soil,0.02997003,*
AP,6.638315794,190105.8124,AP,Soil,0.048951049,*
AK,7.575013178,138530.0861,AK,Soil,0.017982018,*
TN,8.895701957,144861.0392,TN,Soil,0.006993007,**
TP,2.382143886,63742.34315,TP,Soil,0.163836164,
TK,7.074576777,91574.19688,TK,Soil,0.032967033,*
OM,12.10444441,294493.0183,OM,Soil,0.000999001,***
NH_N,2.549033329,136160.039,NH_N,Soil,0.1998002,
NO_N,-0.85743768,105306.6614,NO_N,Soil,0.531468531,
