,PE,Factor,Value,Field
1,602.154,B_PCoA1,-0.272215277,Upland
2,686.076,B_PCoA1,-0.133849185,Upland
3,803.424,B_PCoA1,-0.304531757,Upland
4,839.502,B_PCoA1,-0.266780783,Upland
5,763.322,B_PCoA1,-0.283367547,Upland
6,730.699,B_PCoA1,-0.293127411,Upland
7,785.49,B_PCoA1,-0.338879874,Upland
8,744.136,B_PCoA1,-0.349595298,Upland
9,590.665,B_PCoA1,-0.313085766,Upland
10,488.283,B_PCoA1,-0.028600034,Upland
11,673.919,B_PCoA1,-0.08928256,Upland
12,626.743,B_PCoA1,-0.2069581,Upland
13,445.846,B_PCoA1,0.091643104,Upland
14,484.701,B_PCoA1,-0.261796374,Upland
15,633.645,B_PCoA1,-0.268286575,Upland
16,313.667,B_PCoA1,0.18152142,Upland
17,492.895,B_PCoA1,-0.296713343,Upland
18,564.198,B_PCoA1,-0.273717844,Upland
19,782.997,B_PCoA1,-0.358415001,Upland
20,897.059,B_PCoA1,-0.35362373,Upland
21,913.038,B_PCoA1,-0.316262266,Upland
22,1144.393,B_PCoA1,-0.220584612,Upland
23,1117.932,B_PCoA1,-0.322981496,Upland
24,1001.185,B_PCoA1,-0.299065335,Upland
25,1032.616,B_PCoA1,-0.097696837,Upland
26,1004.587,B_PCoA1,-0.289084257,Upland
27,1191.38,B_PCoA1,-0.337443344,Upland
28,626.18,B_PCoA1,0.252703824,Upland
29,468.453,B_PCoA1,0.245525086,Upland
30,451.089,B_PCoA1,0.261341068,Upland
31,727.145,B_PCoA1,0.275267795,Upland
32,775.803,B_PCoA1,0.266417747,Upland
33,687.528,B_PCoA1,0.263733374,Upland
34,1020.089,B_PCoA1,-0.287915801,Upland
35,945.409,B_PCoA1,-0.337774688,Upland
36,1086.005,B_PCoA1,-0.337806711,Upland
37,947.486,B_PCoA1,-0.276123712,Upland
38,1078.912,B_PCoA1,-0.276098435,Upland
39,1055.704,B_PCoA1,-0.157991103,Upland
40,859.877,B_PCoA1,-0.077960667,Upland
41,1270.509,B_PCoA1,-0.310882534,Upland
42,725.766,B_PCoA1,0.23694037,Upland
43,512.438,B_PCoA1,0.272844244,Upland
44,512.054,B_PCoA1,0.274993498,Upland
45,657.266,B_PCoA1,0.282799658,Upland
46,267.143,B_PCoA1,0.29510043,Upland
47,605.062,B_PCoA1,0.299483674,Upland
48,336.134,B_PCoA1,0.280295675,Upland
49,422.928,B_PCoA1,0.291221582,Upland
50,519.516,B_PCoA1,0.286042814,Upland
51,478.138,B_PCoA1,0.272765791,Upland
52,600.052,B_PCoA1,0.267086463,Upland
53,679.589,B_PCoA1,0.272361088,Upland
54,959.909,B_PCoA1,0.276727785,Upland
55,771.92,B_PCoA1,0.095501774,Upland
56,1009.342,B_PCoA1,0.141711193,Upland
57,989.383,B_PCoA1,-0.007043139,Upland
58,644.707,B_PCoA1,0.281188855,Upland
59,507.641,B_PCoA1,0.231226179,Upland
60,518.05,B_PCoA1,0.270409764,Upland
61,922.305,B_PCoA1,-0.25932485,Upland
62,950.404,B_PCoA1,-0.323519276,Upland
63,960.282,B_PCoA1,-0.31420204,Upland
64,1152.479,B_PCoA1,-0.197950839,Upland
65,948.618,B_PCoA1,-0.304386708,Upland
66,951.182,B_PCoA1,-0.087851102,Upland
67,1023.178,B_PCoA1,-0.133292768,Upland
68,1253.699,B_PCoA1,-0.212699915,Upland
