,Factor,Effect,Group,Variable
1,Space,-0.125535355,Direct,Space
2,Field,-0.445747159,Direct,Field
3,Climate,0,Direct,Climate
4,Soil,-0.019931089,Direct,Soil
5,B_alpha,0.207156555,Direct,B_alpha
6,B_beta,-0.607686603,Direct,B_beta
7,F_alpha,-0.093192956,Direct,F_alpha
8,F_beta,0.229481019,Direct,F_beta
9,BR,-0.147330454,Direct,BR
10,Space,-0.026498855,Indirect,Space
11,Field,0.099692751,Indirect,Field
12,Climate,0.346018053,Indirect,Climate
13,Soil,-0.31749666,Indirect,Soil
14,B_alpha,0,Indirect,B_alpha
15,B_beta,0,Indirect,B_beta
16,F_alpha,0,Indirect,F_alpha
17,F_beta,0,Indirect,F_beta
18,BR,0,Indirect,BR
19,Space,-0.15203421,Total,Space
20,Field,-0.346054409,Total,Field
21,Climate,0.346018053,Total,Climate
22,Soil,-0.33742775,Total,Soil
23,B_alpha,0.207156555,Total,B_alpha
24,B_beta,-0.607686603,Total,B_beta
25,F_alpha,-0.093192956,Total,F_alpha
26,F_beta,0.229481019,Total,F_beta
27,BR,-0.147330454,Total,BR
