OIUID	Kingdom	Phylum	Class	Order	Family	Genus
ITS_Otu1	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
ITS_Otu2	Fungi	Zygomycota	Zygomycota_class_Incertae_sedis	Mortierellales	Mortierellaceae	Mortierella
ITS_Otu3	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium
ITS_Otu4	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Humicola
ITS_Otu5	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Guehomyces
ITS_Otu6	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium
ITS_Otu7	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium
ITS_Otu8	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	f__Trichocomaceae_unclassified
ITS_Otu9	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium
ITS_Otu10	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	f__Nectriaceae_unclassified
ITS_Otu11	Fungi	Ascomycota	Ascomycota_class_Incertae_sedis	Ascomycota_order_Incertae_sedis	Ascomycota_family_Incertae_sedis	Staphylotrichum
ITS_Otu12	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	unclassified_Chaetomiaceae
ITS_Otu13	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium
ITS_Otu14	Fungi	Zygomycota	Zygomycota_class_Incertae_sedis	Mortierellales	Mortierellaceae	Mortierella
ITS_Otu15	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	f__Chaetomiaceae_unclassified
ITS_Otu16	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_family_Incertae_sedis	Phoma
ITS_Otu17	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium
ITS_Otu18	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
ITS_Otu19	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Arnium
ITS_Otu20	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	f__Nectriaceae_unclassified
ITS_Otu21	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariales_family_Incertae_sedis	Monographella
ITS_Otu22	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	f__Nectriaceae_unclassified
ITS_Otu23	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	f__Trichocomaceae_unclassified
ITS_Otu24	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
ITS_Otu25	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	f__Nectriaceae_unclassified
ITS_Otu26	Fungi	Ascomycota	Sordariomycetes	c__Sordariomycetes_unclassified	c__Sordariomycetes_unclassified	c__Sordariomycetes_unclassified
ITS_Otu27	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_family_Incertae_sedis	Cryptococcus
ITS_Otu28	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
ITS_Otu29	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium
ITS_Otu30	Fungi	Zygomycota	Zygomycota_class_Incertae_sedis	Mortierellales	Mortierellaceae	Mortierella
ITS_Otu31	Fungi	Ascomycota	Dothideomycetes	Dothideomycetes_order_Incertae_sedis	Pseudeurotiaceae	Pseudogymnoascus
ITS_Otu32	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Cryptococcus
ITS_Otu33	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium
ITS_Otu34	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_family_Incertae_sedis	Phoma
ITS_Otu35	Fungi	Ascomycota	Dothideomycetes	Dothideomycetes_order_Incertae_sedis	Pseudeurotiaceae	Pseudeurotium
ITS_Otu36	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Zopfiella
ITS_Otu37	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	unclassified_Lasiosphaeriaceae
ITS_Otu38	Fungi	Ascomycota	Sordariomycetes	Sordariales	o__Sordariales_unclassified	o__Sordariales_unclassified
ITS_Otu39	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
ITS_Otu40	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_family_Incertae_sedis	f__Hypocreales_family_Incertae_sedis_unclassified
ITS_Otu41	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Podospora
ITS_Otu42	Fungi	Zygomycota	Zygomycota_class_Incertae_sedis	Mortierellales	Mortierellaceae	Mortierella
ITS_Otu43	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Hypocrea
ITS_Otu44	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	f__Lasiosphaeriaceae_unclassified
ITS_Otu45	Fungi	Ascomycota	Sordariomycetes	Sordariomycetes_order_Incertae_sedis	Plectosphaerellaceae	unclassified_Plectosphaerellaceae
ITS_Otu46	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
ITS_Otu47	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium
ITS_Otu48	Fungi	Ascomycota	p__Ascomycota_unclassified	p__Ascomycota_unclassified	p__Ascomycota_unclassified	p__Ascomycota_unclassified
ITS_Otu49	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_family_Incertae_sedis	Sarocladium
ITS_Otu50	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
ITS_Otu51	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiales_family_Incertae_sedis	Mrakiella
ITS_Otu52	Fungi	Ascomycota	p__Ascomycota_unclassified	p__Ascomycota_unclassified	p__Ascomycota_unclassified	p__Ascomycota_unclassified
ITS_Otu53	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_family_Incertae_sedis	f__Hypocreales_family_Incertae_sedis_unclassified
ITS_Otu54	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
ITS_Otu55	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium
ITS_Otu56	Fungi	Ascomycota	Sordariomycetes	Sordariomycetes_order_Incertae_sedis	Sordariomycetes_family_Incertae_sedis	Myrmecridium
ITS_Otu57	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Mrakia
ITS_Otu58	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma
ITS_Otu59	Fungi	Ascomycota	Sordariomycetes	c__Sordariomycetes_unclassified	c__Sordariomycetes_unclassified	c__Sordariomycetes_unclassified
ITS_Otu60	Fungi	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified
ITS_Otu61	Fungi	Ascomycota	Leotiomycetes	Thelebolales	o__Thelebolales_unclassified	o__Thelebolales_unclassified
ITS_Otu62	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
ITS_Otu63	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Lecythophora
ITS_Otu64	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified_Hypocreales	unclassified_Hypocreales
ITS_Otu65	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Zopfiella
ITS_Otu66	Fungi	Ascomycota	Sordariomycetes	Sordariales	Cephalothecaceae	Cephalotheca
ITS_Otu67	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomidium
ITS_Otu68	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Purpureocillium
ITS_Otu69	Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Chloridium
ITS_Otu70	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus
ITS_Otu71	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_family_Incertae_sedis	Tetracladium
ITS_Otu72	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
ITS_Otu73	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	f__Chaetomiaceae_unclassified
ITS_Otu74	Fungi	Ascomycota	Sordariomycetes	Trichosphaeriales	Trichosphaeriales_family_Incertae_sedis	unclassified_Trichosphaeriales
ITS_Otu75	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Podospora
ITS_Otu76	Fungi	Ascomycota	Sordariomycetes	c__Sordariomycetes_unclassified	c__Sordariomycetes_unclassified	c__Sordariomycetes_unclassified
ITS_Otu77	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Cryptococcus
ITS_Otu78	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Neurospora
ITS_Otu79	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium
ITS_Otu80	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	f__Lasiosphaeriaceae_unclassified
