Sample ID,PE,Values_day30
SYRU1,602.154,628.762
SYRU2,686.076,639.462
SYRU3,803.424,690.935
HKRU1,839.502,786.035
HKRU2,763.322,645.033
HKRU3,730.699,664.613
SXRU1,785.49,682.929
SXRU2,744.136,693.008
SXRU3,590.665,533.402
YLRU1,488.283,421.134
YLRU2,673.919,618.386
YLRU3,626.743,603.945
WZRU1,445.846,414.862
WZRU2,484.701,463.231
WZRU3,633.645,542.821
JHRU1,313.667,283.359
JHRU2,492.895,514.284
JHRU3,564.198,512.021
QYRU1,782.997,734.951
QYRU2,897.059,861.885
QYRU3,913.038,867.512
LDRU1,1144.393,1096.64
LDRU2,1117.932,1053.463
LDRU3,1001.185,932.872
YiYangRU1,1032.616,1014.796
YiYangRU2,1004.587,946.558
YiYangRU3,1191.38,1033.163
HRRU1,626.18,568.023
HRRU2,468.453,444.273
HRRU3,451.089,448.249
QJRU1,727.145,672.257
QJRU2,775.803,666.999
QJRU3,687.528,766.151
XGRU1,1020.089,951.377
XGRU2,945.409,889.325
XGRU3,1086.005,1013.595
XYRU1,947.486,868.506
XYRU2,1078.912,933.947
XYRU3,1055.704,968.168
LHRU1,859.877,838.793
LHRU2,1270.509,1143.327
LHRU3,725.766,830.124
YYRU1,512.438,658.22
YYRU2,512.054,531.975
YYRU3,657.266,611.86
HDRU1,267.143,350.868
HDRU2,605.062,531.875
HDRU3,336.134,503.01
XJRU1,422.928,393.412
XJRU2,519.516,498.682
XJRU3,478.138,401.245
BZRU1,600.052,481.082
BZRU2,679.589,629.887
BZRU3,959.909,880.695
QHDRU1,771.92,718.434
QHDRU2,1009.342,892.647
QHDRU3,989.383,930.573
PJRU1,644.707,647.634
PJRU2,507.641,487.23
PJRU3,518.05,582.522
SYSRU1,922.305,852.576
SYSRU2,950.404,854.429
SYSRU3,960.282,820.231
SPRU1,1152.479,958.324
SPRU2,948.618,846.664
SPRU3,951.182,845.868
DHRU1,1023.178,1001.477
DHRU2,1253.699,1147.165
DHRU3,883.945,824.653
HLRU1,635.919,758.163
HLRU2,883.908,814.608
HLRU3,411.596,400.872
HEBRU1,362.593,309.24
HEBRU2,429.574,407.57
HEBRU3,294.47,300.57
NJRU1,761.857,673.803
NJRU2,389.338,436.774
NJRU3,648.707,581.301
HMRU1,522.958,458.5
HMRU2,594.33,515.618
HMRU3,589.551,531.709
MHRU1,617.932,648.459
MHRU2,547.58,528.897
MHRU3,722.886,617.56
SYRP1,807.484,653.475
SYRP2,676.109,652.808
SYRP3,758.225,579.405
HKRP1,635.058,548.165
HKRP2,582.216,625.425
HKRP3,1014.936,984.141
SXRP1,596.11,500.952
SXRP2,574.103,521.432
SXRP3,639.546,556.572
YLRP1,373.848,457.998
YLRP2,516.079,378.334
YLRP3,717.906,615.553
WZRP1,625.238,549.465
WZRP2,875.563,770.17
WZRP3,523.126,446.802
JHRP1,608.549,499.92
JHRP2,249.35,239.57
JHRP3,710.637,615.055
QYRP1,692.127,542.872
QYRP2,635.462,546.284
QYRP3,504.388,452.579
LDRP1,329.18,217.918
LDRP2,498.429,380.798
LDRP3,658.159,515.111
YiYangRP1,949.903,814.944
YiYangRP2,991.284,710.864
YiYangRP3,800.703,654.643
HRRP1,333.172,446.937
HRRP2,444.113,327.387
HRRP3,629.757,439.123
QJRP1,597.065,396.956
QJRP2,442.747,308.059
QJRP3,721.404,620.801
XGRP1,804.472,654.955
XGRP2,535.172,588.908
XGRP3,684.029,711.797
XYRP1,670.041,613.994
XYRP2,767.437,643.006
XYRP3,796.459,684.598
YYRP1,788.086,622.378
YYRP2,431.045,447.445
YYRP3,496.361,475.729
HDRP1,719.399,732.348
HDRP2,448.677,365.39
HDRP3,571.003,514.882
QHDRP1,595.786,463.516
QHDRP2,561.664,479.701
QHDRP3,764.916,646.254
PJRP1,583.37,553.216
PJRP2,609.848,518.444
SYSRP1,517.395,472.148
SYSRP2,305.511,253.093
SYSRP3,393.598,386.506
SPRP1,589.146,502.35
SPRP2,658.366,370.676
SPRP3,279.338,220.031
DHRP1,460.482,397.076
DHRP2,570.073,522.529
DHRP3,274.352,265.423
HLRP1,471.882,411.415
HLRP2,545.259,501.342
HLRP3,693.162,536.476
HEBRP1,434.697,281.669
HEBRP2,362.577,325.808
HEBRP3,351.047,408.478
NJRP1,306.519,256.01
NJRP2,590.669,431.512
NJRP3,713.635,549.934
HMRP1,475.267,428.177
HMRP2,645.646,499.186
HMRP3,547.45,507.378
